cyc.time_seconds,veh.history.speed_ach_meters_per_second,veh.pt_type.BEV.res.history.soc,battery_energy_step_j,battery_energy_cum_j
179.0,19.67007913,0.9999841479006649,-211660.88993647744,21257210.42099116
180.0,19.2677366,0.9999842688167515,-182010.5302645222,21075199.890726637
181.0,18.86539407,0.9999843877378736,-179007.58366202615,20896192.30706461
182.0,18.552461,0.9999844716970613,-126380.67201079607,20769811.635053817
183.0,18.552461,0.9999844221075971,67367.28712271174,20837178.92217653
184.0,18.82068935,0.9999842241917408,268868.6906970649,21106047.612873595
185.0,19.17832715,0.9999839741242909,339716.6307579846,21445764.24363158
186.0,19.4465555,0.999983768853212,278860.7605273579,21724625.004158936
187.0,19.6253744,0.9999836106766452,214882.86600876832,21939507.870167706
188.0,19.49126023,0.9999836280351128,-26129.061667968643,21913378.80849974
189.0,19.35714605,0.9999836454481311,-26211.17503273658,21887167.633467004
190.0,19.22303187,0.9999836629118314,-26287.46456565589,21860880.168901347
191.0,19.2677366,0.9999835841581338,106986.89820832288,21967867.06710967
192.0,19.40185078,0.999983453159624,177961.47561683645,22145828.542726506
193.0,19.6253744,0.999983270155763,248610.74506860314,22394439.287795108
194.0,19.8041933,0.9999831102473588,217235.56726542665,22611674.855060533
195.0,19.93830748,0.9999829746768097,184172.59087921248,22795847.445939746
196.0,20.07242165,0.9999828379507819,185742.30879118908,22981589.754730936
197.0,20.02771693,0.9999828090797659,39221.27526156392,23020811.0299925
198.0,19.84889803,0.9999828439319174,-52461.659549929165,22968349.37044257
199.0,19.6253744,0.9999828961939523,-78668.11564915373,22889681.254793417
200.0,19.40185078,0.9999829481572085,-78218.37497030417,22811462.87982311
201.0,19.31244133,0.9999829484416214,-428.1163085917251,22811034.76351452
202.0,19.31244133,0.9999828953839716,72078.81733081667,22883113.580845334
203.0,19.2677366,0.999982869190943,35583.2292219306,22918696.810067263
204.0,19.22303187,0.9999828431496672,35377.073211519106,22954073.883278783
205.0,19.22303187,0.9999827905090201,71512.31916660018,23025586.202445384
206.0,19.2677366,0.9999827117553225,106986.89820832288,23132573.100653708
207.0,19.40185078,0.9999825807568127,177961.47561683645,23310534.576270543
208.0,19.6253744,0.9999823977529517,248610.74506860314,23559145.321339145
209.0,19.67007913,0.9999823165682481,110289.41984719432,23669434.74118634
210.0,19.4465555,0.9999823685921299,-78309.6325551682,23591125.10863117
211.0,19.04421297,0.999982488404161,-180348.6364704864,23410776.472160686
212.0,18.552461,0.9999826392947003,-227129.9697173074,23183646.502443377
213.0,18.19482319,0.9999827384175786,-149206.01665061756,23034440.48579276
214.0,17.88189012,0.999982820115609,-122977.03533981265,22911463.450452946
215.0,17.88189012,0.9999827734451794,63401.778705919125,22974865.229158863
216.0,18.01600429,0.999982653898968,162403.52819908422,23137268.757357948
217.0,18.32893737,0.9999824390885993,291819.8859369962,23429088.643294945
218.0,18.77598462,0.9999821479287624,395540.6383760478,23824629.28167099
219.0,19.0889177,0.9999819230948734,305436.83815516025,24130066.119826153
220.0,19.2677366,0.9999817683574584,210210.77827832272,24340276.898104474
221.0,19.31244133,0.9999816893360991,107350.51673873575,24447627.41484321
222.0,19.40185078,0.9999815838216678,143341.3549936388,24590968.769836847
223.0,19.6253744,0.9999814008178068,248610.74506860314,24839579.51490545
224.0,19.8041933,0.9999812409094025,217235.56726542665,25056815.082170874
225.0,19.9830122,0.9999810792609034,219599.4860812573,25276414.56825213
226.0,20.16183111,0.9999809158639847,221974.7140142292,25498389.28226636
227.0,20.29594528,0.9999807772009237,188373.76842117662,25686763.050687537
228.0,20.47476418,0.9999806107240862,226158.7837372715,25912921.83442481
229.0,20.78769726,0.9999803629566757,336592.0270674506,26249513.861492258
230.0,20.96651616,0.9999801915873299,232805.25627943384,26482319.117771693
231.0,21.10063034,0.9999800458329516,198007.32282017506,26680326.440591868
232.0,21.19003979,0.9999799268693977,161611.9879035096,26841938.428495377
233.0,21.14533506,0.9999798937160382,45038.83895118885,26886977.267446566
234.0,21.14533506,0.9999798315647308,84432.55117781127,26971409.818624377
235.0,21.10063034,0.9999797985906752,44795.25448602037,27016205.073110398
236.0,21.10063034,0.9999797366738049,84114.06825654065,27100319.14136694
237.0,21.10063034,0.9999796747569346,84114.06825654065,27184433.209623482
238.0,21.05592561,0.9999796419615214,44552.56878985262,27228985.778413333
239.0,21.01122089,0.9999796093440636,44310.816457285866,27273296.59487062
